_CASE_KEY	Variant	Pizza Type	Pizza Size	Weekday	Daytime	Customer_Location	Customer_Type	Revenue
55	1	Veggie	Small	Thursday	19	Munich District Three	Student	15
56	1	Salami	Large	Sunday	21	Munich District One	Adult	43
57	3	Magherita	Medium	Saturday	18	Munich District Three	Student	34
58	4	Magherita	Small	Friday	14	Munich District One	Student	10
61	1	Funghi	Small	Saturday	19	Munich District One	Student	21
62	6	Speciale	Medium	Sunday	13	Munich District Three	Student	21
63	3	Salami	Medium	Sunday	19	Munich District One	Teenager	37
64	4	Magherita	Small	Friday	13	Munich District Five	Student	35
65	2	Magherita	Small	Sunday	13	Munich District Two	Teenager	10
66	1	Funghi	Large	Sunday	13	Munich District Five	Student	33
67	4	Funghi	Small	Sunday	19	Munich District Four	Teenager	8
68	4	Salami	Medium	Tuesday	18	Munich District Two	Student	6
69	3	Funghi	Large	Saturday	12	Munich District One	Student	5
70	1	Speciale	Medium	Tuesday	18	Munich District One	Student	21
71	2	Calzone	Large	Friday	14	Munich District Four	Senior	5
72	4	Calzone	Small	Friday	15	Munich District Three	Teenager	21
73	1	Funghi	Small	Saturday	19	Munich District Two	Teenager	36
74	6	Magherita	Small	Wednesday	12	Munich District Five	Teenager	37
75	4	Calzone	Large	Friday	13	Munich District Two	Student	35
76	3	Salami	Large	Friday	12	Munich District One	Student	10
77	1	Magherita	Small	Wednesday	12	Munich District Five	Adult	35
78	6	Paprika	Large	Saturday	12	Munich District One	Student	36
79	1	Salami	Medium	Saturday	19	Munich District Two	Student	47
80	4	Calzone	Large	Friday	19	Munich District Three	Senior	46
81	1	Paprika	Small	Wednesday	12	Munich District Five	Student	4
83	7	Salami	Small	Friday	19	Munich District Four	Student	10
84	1	Funghi	Large	Tuesday	21	Munich District Five	Student	21
85	6	Salami	Small	Sunday	21	Munich District One	Teenager	28
86	3	Salami	Large	Sunday	13	Munich District Two	Student	8
87	1	Salami	Large	Saturday	18	Munich District Three	Student	10
88	3	Magherita	Large	Sunday	13	Munich District One	Student	11
89	2	Veggie	Small	Friday	20	Munich District Two	Adult	25
90	6	Speciale	Medium	Friday	21	Munich District One	Student	51
91	1	Salami	Small	Saturday	19	Munich District Five	Teenager	8
92	4	Funghi	Small	Wednesday	15	Munich District One	Student	29
93	3	Speciale	Small	Tuesday	11	Munich District Four	Teenager	51
94	6	Paprika	Small	Sunday	18	Munich District One	Student	29
95	2	Salami	Medium	Monday	13	Munich District Four	Senior	29
96	1	Calzone	Small	Sunday	17	Munich District One	Adult	8
97	4	Salami	Small	Wednesday	12	Munich District Four	Teenager	52
98	6	Salami	Small	Friday	18	Munich District One	Teenager	24
99	1	Magherita	Large	Friday	13	Munich District Three	Adult	5
100	8	Calzone	Small	Sunday	19	Munich District Three	Teenager	8
101	4	Funghi	Small	Friday	12	Munich District One	Student	50
102	1	Magherita	Large	Friday	12	Munich District One	Student	33
103	7	Calzone	Medium	Friday	18	Munich District One	Student	18
104	3	Veggie	Small	Friday	18	Munich District One	Student	10
105	2	Magherita	Small	Sunday	21	Munich District Two	Teenager	15
106	1	Paprika	Small	Saturday	12	Munich District One	Student	36
107	6	Salami	Large	Saturday	11	Munich District One	Student	10
108	4	Speciale	Large	Sunday	18	Munich District One	Student	8
109	4	Magherita	Large	Friday	18	Munich District One	Student	29
110	1	Magherita	Small	Saturday	16	Munich District One	Student	5
111	3	Speciale	Large	Friday	11	Munich District One	Adult	11
112	8	Speciale	Medium	Friday	14	Munich District Three	Student	34
113	2	Salami	Large	Sunday	13	Munich District Five	Teenager	9
114	2	Paprika	Small	Sunday	12	Munich District Five	Teenager	60
115	9	Calzone	Medium	Friday	18	Munich District Three	Student	20
116	6	Magherita	Small	Sunday	14	Munich District Two	Adult	29
117	3	Salami	Small	Saturday	16	Munich District Two	Teenager	36
118	2	Magherita	Large	Sunday	13	Munich District One	Student	38
119	4	Magherita	Small	Sunday	19	Munich District Three	Adult	54
120	9	Funghi	Large	Friday	16	Munich District Two	Student	36
121	3	Funghi	Large	Saturday	12	Munich District Three	Student	9
122	1	Magherita	Large	Saturday	11	Munich District One	Adult	17
123	1	Salami	Large	Sunday	14	Munich District Two	Teenager	30
125	4	Veggie	Large	Sunday	13	Munich District One	Adult	21
126	2	Funghi	Small	Friday	13	Munich District One	Student	11
127	6	Speciale	Small	Saturday	18	Munich District Four	Student	25
128	7	Calzone	Small	Sunday	11	Munich District One	Teenager	10
129	6	Funghi	Small	Tuesday	12	Munich District One	Student	6
130	7	Magherita	Medium	Saturday	21	Munich District Two	Student	35
131	1	Calzone	Medium	Friday	18	Munich District Two	Student	56
132	1	Speciale	Small	Sunday	13	Munich District Three	Student	18
133	1	Calzone	Small	Sunday	12	Munich District Three	Student	29
134	6	Salami	Large	Saturday	18	Munich District Two	Student	6
135	1	Salami	Small	Wednesday	17	Munich District Three	Student	36
136	7	Magherita	Small	Friday	18	Munich District One	Teenager	10
137	1	Calzone	Large	Friday	15	Munich District Three	Teenager	55
138	3	Funghi	Small	Sunday	11	Munich District One	Student	11
139	4	Magherita	Medium	Friday	18	Munich District One	Adult	18
140	4	Magherita	Small	Sunday	13	Munich District Five	Student	10
142	1	Calzone	Small	Friday	21	Munich District One	Student	13
143	4	Calzone	Large	Thursday	17	Munich District One	Student	4
144	1	Magherita	Small	Saturday	11	Munich District One	Teenager	11
145	6	Salami	Small	Saturday	18	Munich District One	Adult	11
146	1	Calzone	Small	Sunday	17	Munich District Four	Student	36
147	2	Magherita	Small	Friday	21	Munich District One	Teenager	55
148	2	Salami	Small	Friday	19	Munich District One	Adult	6
149	3	Calzone	Large	Friday	13	Munich District Five	Student	39
150	2	Magherita	Small	Sunday	13	Munich District One	Student	29
151	1	Funghi	Small	Sunday	19	Munich District One	Adult	5
152	2	Salami	Large	Sunday	18	Munich District Three	Teenager	6
153	2	Salami	Large	Saturday	18	Munich District One	Student	5
154	1	Funghi	Large	Saturday	13	Munich District One	Adult	20
155	1	Salami	Large	Sunday	12	Munich District Two	Student	36
156	1	Salami	Large	Friday	20	Munich District Four	Teenager	31
157	1	Speciale	Small	Sunday	18	Munich District One	Student	56
158	6	Funghi	Medium	Sunday	14	Munich District Two	Student	17
159	4	Salami	Medium	Wednesday	10	Munich District Two	Teenager	23
160	3	Calzone	Large	Saturday	12	Munich District One	Student	36
161	2	Salami	Medium	Saturday	12	Munich District One	Teenager	28
163	6	Veggie	Medium	Sunday	14	Munich District Three	Adult	10
164	3	Salami	Large	Sunday	18	Munich District One	Student	32
165	4	Calzone	Large	Saturday	19	Munich District One	Teenager	11
166	2	Veggie	Medium	Sunday	19	Munich District One	Student	13
167	1	Salami	Small	Friday	19	Munich District One	Student	36
168	2	Calzone	Small	Friday	13	Munich District Four	Student	38
169	3	Magherita	Small	Friday	18	Munich District Three	Student	11
170	4	Salami	Large	Saturday	19	Munich District Three	Student	12
171	7	Funghi	Small	Friday	11	Munich District Three	Student	11
172	4	Magherita	Small	Sunday	13	Munich District One	Student	9
173	6	Salami	Medium	Sunday	13	Munich District Three	Adult	10
174	3	Funghi	Large	Friday	19	Munich District One	Student	5
175	4	Veggie	Small	Saturday	17	Munich District One	Student	36
176	7	Speciale	Small	Sunday	14	Munich District Four	Adult	9
177	4	Magherita	Medium	Sunday	11	Munich District One	Teenager	36
178	9	Salami	Large	Sunday	21	Munich District Five	Student	8
180	1	Funghi	Medium	Sunday	13	Munich District One	Teenager	10
181	6	Funghi	Small	Friday	11	Munich District One	Student	9
182	9	Funghi	Small	Saturday	16	Munich District One	Adult	5
183	1	Magherita	Small	Friday	19	Munich District Three	Adult	10
184	3	Funghi	Medium	Saturday	18	Munich District Two	Student	38
185	1	Calzone	Large	Sunday	18	Munich District One	Adult	36
186	7	Magherita	Small	Saturday	20	Munich District Three	Student	17
187	2	Salami	Small	Sunday	16	Munich District One	Adult	11
188	2	Veggie	Small	Sunday	19	Munich District Three	Adult	11
189	1	Salami	Large	Saturday	21	Munich District One	Teenager	36
190	2	Magherita	Medium	Friday	13	Munich District Four	Student	8
191	1	Magherita	Small	Sunday	18	Munich District Three	Teenager	9
192	1	Magherita	Small	Friday	13	Munich District Three	Teenager	36
193	4	Magherita	Large	Wednesday	12	Munich District Three	Adult	5
194	4	Magherita	Medium	Saturday	12	Munich District Two	Student	8
195	3	Funghi	Small	Sunday	12	Munich District Four	Student	15
196	1	Magherita	Large	Sunday	17	Munich District Two	Student	10
197	1	Magherita	Small	Saturday	16	Munich District Three	Student	28
198	1	Salami	Medium	Monday	11	Munich District Two	Student	38
199	6	Speciale	Small	Friday	21	Munich District Three	Student	29
200	3	Paprika	Large	Thursday	13	Munich District Four	Senior	10
201	2	Salami	Small	Saturday	20	Munich District Four	Teenager	10
202	3	Salami	Small	Sunday	17	Munich District Four	Student	31
203	1	Calzone	Small	Saturday	18	Munich District Two	Adult	50
204	4	Salami	Small	Friday	12	Munich District One	Student	31
205	7	Funghi	Small	Saturday	21	Munich District One	Adult	21
206	4	Magherita	Small	Saturday	20	Munich District Four	Student	9
207	4	Salami	Small	Saturday	14	Munich District One	Adult	11
208	2	Magherita	Small	Saturday	18	Munich District Four	Teenager	29
209	3	Funghi	Small	Sunday	18	Munich District One	Student	29
210	1	Funghi	Medium	Sunday	18	Munich District Four	Adult	8
211	3	Calzone	Large	Thursday	12	Munich District Four	Student	28
212	2	Funghi	Large	Friday	20	Munich District Two	Student	60
213	2	Veggie	Large	Sunday	20	Munich District One	Teenager	29
214	4	Speciale	Large	Saturday	18	Munich District Two	Student	51
215	3	Speciale	Medium	Sunday	17	Munich District Three	Student	11
216	1	Speciale	Small	Sunday	18	Munich District One	Student	17
217	1	Magherita	Small	Sunday	19	Munich District Two	Student	8
218	6	Speciale	Large	Saturday	18	Munich District One	Teenager	6
219	2	Funghi	Large	Sunday	14	Munich District Two	Adult	55
220	2	Calzone	Large	Saturday	17	Munich District Three	Teenager	35
221	4	Funghi	Large	Saturday	14	Munich District Three	Student	10
222	1	Speciale	Medium	Friday	18	Munich District Four	Adult	29
223	2	Paprika	Large	Saturday	19	Munich District Two	Student	16
224	4	Speciale	Medium	Sunday	19	Munich District One	Student	30
225	2	Speciale	Large	Sunday	12	Munich District Three	Senior	9
226	7	Calzone	Medium	Sunday	13	Munich District Three	Student	43
229	1	Speciale	Medium	Sunday	21	Munich District Five	Student	36
230	1	Salami	Small	Saturday	14	Munich District One	Student	47
231	1	Salami	Medium	Saturday	11	Munich District One	Student	29
232	2	Salami	Small	Saturday	13	Munich District Four	Teenager	10
233	1	Salami	Large	Saturday	14	Munich District Three	Student	11
234	1	Speciale	Large	Tuesday	20	Munich District One	Student	11
235	2	Funghi	Small	Sunday	12	Munich District Five	Student	9
237	1	Salami	Small	Sunday	13	Munich District Five	Student	29
238	3	Calzone	Large	Friday	17	Munich District One	Student	19
239	2	Salami	Medium	Friday	18	Munich District One	Student	11
240	1	Salami	Small	Sunday	18	Munich District Three	Student	10
241	1	Funghi	Small	Saturday	18	Munich District One	Teenager	11
242	6	Funghi	Small	Friday	17	Munich District One	Student	10
243	1	Funghi	Small	Saturday	18	Munich District Three	Adult	21
244	1	Speciale	Medium	Saturday	19	Munich District One	Student	31
245	9	Funghi	Large	Sunday	18	Munich District One	Student	29
246	9	Speciale	Small	Wednesday	14	Munich District Three	Student	44
248	4	Magherita	Small	Friday	18	Munich District Four	Student	34
249	7	Veggie	Medium	Friday	16	Munich District Five	Teenager	6
250	1	Magherita	Large	Friday	17	Munich District One	Teenager	21
251	1	Funghi	Large	Sunday	14	Munich District One	Teenager	23
252	7	Magherita	Large	Saturday	14	Munich District Five	Teenager	55
254	3	Funghi	Small	Tuesday	19	Munich District One	Senior	17
255	2	Magherita	Large	Friday	18	Munich District Four	Teenager	11
256	4	Speciale	Small	Saturday	19	Munich District Four	Teenager	29
257	3	Salami	Small	Saturday	20	Munich District Two	Student	6
259	1	Calzone	Medium	Wednesday	17	Munich District Three	Student	6
261	2	Calzone	Medium	Friday	13	Munich District One	Student	36
262	1	Funghi	Large	Wednesday	19	Munich District Two	Teenager	36
263	2	Magherita	Small	Wednesday	10	Munich District Three	Student	9
264	1	Funghi	Small	Saturday	11	Munich District One	Student	36
266	1	Paprika	Medium	Sunday	11	Munich District One	Teenager	5
267	1	Magherita	Small	Sunday	11	Munich District One	Student	29
268	7	Calzone	Large	Wednesday	13	Munich District One	Senior	8
269	1	Speciale	Small	Saturday	17	Munich District One	Student	8
270	1	Salami	Small	Friday	19	Munich District Two	Adult	4
271	2	Magherita	Medium	Friday	12	Munich District Four	Student	10
272	2	Funghi	Large	Saturday	12	Munich District Three	Student	20
273	4	Salami	Small	Friday	20	Munich District Three	Student	4
274	3	Magherita	Small	Sunday	19	Munich District One	Student	21
275	1	Salami	Medium	Saturday	17	Munich District One	Teenager	8
276	1	Salami	Large	Friday	12	Munich District One	Student	47
277	1	Funghi	Small	Saturday	13	Munich District Three	Student	11
278	1	Magherita	Medium	Wednesday	20	Munich District One	Senior	11
279	7	Paprika	Large	Saturday	17	Munich District One	Student	19
280	2	Funghi	Medium	Sunday	16	Munich District Four	Student	36
281	1	Magherita	Small	Saturday	18	Munich District One	Teenager	31
282	3	Funghi	Small	Saturday	14	Munich District One	Student	43
283	2	Salami	Large	Friday	18	Munich District Three	Student	11
284	4	Magherita	Large	Friday	12	Munich District One	Teenager	8
285	2	Salami	Small	Monday	19	Munich District Three	Student	49
286	8	Funghi	Medium	Saturday	19	Munich District Five	Teenager	21
287	1	Salami	Large	Friday	20	Munich District Three	Adult	10
288	3	Salami	Large	Friday	21	Munich District One	Adult	11
289	2	Funghi	Medium	Sunday	18	Munich District One	Student	9
290	1	Magherita	Medium	Saturday	12	Munich District One	Teenager	29
291	2	Speciale	Large	Wednesday	18	Munich District Three	Adult	29
292	2	Calzone	Small	Saturday	12	Munich District One	Student	36
293	2	Magherita	Medium	Saturday	12	Munich District Four	Student	33
294	2	Paprika	Medium	Saturday	18	Munich District Four	Teenager	8
295	9	Speciale	Large	Friday	18	Munich District One	Adult	8
296	2	Salami	Large	Sunday	12	Munich District Two	Teenager	38
298	1	Magherita	Small	Sunday	13	Munich District One	Adult	29
300	3	Salami	Large	Sunday	18	Munich District Two	Student	36
301	8	Salami	Small	Sunday	14	Munich District One	Adult	10
302	3	Magherita	Small	Wednesday	19	Munich District One	Student	11
303	3	Magherita	Small	Friday	12	Munich District Two	Student	36
304	4	Veggie	Small	Friday	20	Munich District Four	Student	4
305	1	Magherita	Medium	Saturday	14	Munich District One	Student	44
306	4	Funghi	Medium	Saturday	17	Munich District Two	Teenager	10
307	4	Funghi	Large	Friday	21	Munich District Two	Student	29
308	9	Magherita	Large	Friday	21	Munich District One	Student	5
309	3	Speciale	Small	Monday	13	Munich District Two	Student	28
310	2	Salami	Large	Sunday	18	Munich District One	Teenager	19
311	2	Paprika	Medium	Wednesday	20	Munich District One	Student	8
313	4	Salami	Large	Sunday	18	Munich District One	Student	29
314	4	Salami	Small	Friday	21	Munich District Three	Student	55
315	7	Calzone	Small	Saturday	18	Munich District One	Adult	54
316	7	Funghi	Small	Wednesday	17	Munich District One	Student	10
317	2	Salami	Large	Saturday	12	Munich District Three	Adult	8
318	1	Calzone	Large	Friday	17	Munich District One	Student	36
319	6	Funghi	Medium	Saturday	19	Munich District Four	Student	29
320	9	Speciale	Medium	Saturday	12	Munich District Two	Student	5
321	4	Speciale	Small	Saturday	18	Munich District Three	Student	21
322	2	Paprika	Small	Wednesday	20	Munich District Five	Teenager	5
323	1	Speciale	Large	Saturday	12	Munich District Four	Student	12
324	6	Salami	Medium	Saturday	18	Munich District One	Student	49
325	2	Calzone	Small	Sunday	16	Munich District One	Teenager	29
326	3	Salami	Medium	Saturday	17	Munich District Two	Teenager	36
327	1	Paprika	Small	Saturday	12	Munich District One	Student	29
328	4	Magherita	Large	Friday	19	Munich District Three	Teenager	36
329	2	Calzone	Small	Wednesday	13	Munich District Two	Student	36
330	2	Veggie	Medium	Sunday	12	Munich District One	Student	50
332	3	Magherita	Small	Thursday	11	Munich District One	Student	5
333	4	Calzone	Large	Sunday	21	Munich District One	Adult	6
334	4	Salami	Large	Friday	18	Munich District One	Adult	6
335	6	Salami	Small	Saturday	19	Munich District One	Student	4
336	8	Salami	Large	Sunday	18	Munich District Three	Student	9
337	4	Speciale	Small	Saturday	13	Munich District One	Student	37
338	7	Funghi	Large	Monday	11	Munich District Five	Student	10
339	3	Calzone	Small	Sunday	19	Munich District Four	Student	24
340	1	Magherita	Small	Sunday	14	Munich District One	Teenager	36
341	2	Calzone	Medium	Friday	21	Munich District Three	Student	21
342	8	Calzone	Small	Saturday	19	Munich District Three	Teenager	5
343	8	Salami	Large	Thursday	13	Munich District One	Senior	53
344	4	Magherita	Large	Sunday	12	Munich District Five	Student	10
345	1	Funghi	Medium	Sunday	12	Munich District One	Student	13
346	4	Funghi	Small	Sunday	19	Munich District Three	Student	52
347	1	Speciale	Small	Sunday	19	Munich District One	Student	60
349	1	Speciale	Medium	Sunday	17	Munich District One	Student	50
351	2	Salami	Small	Saturday	19	Munich District Two	Student	11
352	1	Speciale	Large	Friday	18	Munich District One	Student	36
353	1	Funghi	Small	Sunday	18	Munich District One	Adult	36
354	3	Salami	Medium	Sunday	13	Munich District Three	Teenager	36
355	6	Funghi	Large	Friday	12	Munich District Two	Senior	29
356	1	Magherita	Small	Sunday	19	Munich District One	Student	53
357	8	Funghi	Small	Sunday	18	Munich District One	Adult	6
358	6	Funghi	Large	Sunday	19	Munich District Three	Student	10
359	2	Calzone	Small	Sunday	17	Munich District Two	Student	8
360	4	Salami	Small	Friday	18	Munich District Two	Student	19
361	8	Magherita	Large	Friday	19	Munich District Three	Student	19
362	6	Magherita	Small	Friday	17	Munich District Three	Teenager	9
363	3	Salami	Large	Wednesday	12	Munich District One	Teenager	21
364	3	Salami	Medium	Friday	14	Munich District One	Student	21
365	6	Magherita	Small	Wednesday	19	Munich District Three	Teenager	10
366	1	Magherita	Large	Monday	18	Munich District One	Student	44
368	1	Speciale	Medium	Saturday	12	Munich District Two	Student	8
369	2	Magherita	Large	Friday	12	Munich District Three	Teenager	4
370	3	Salami	Medium	Saturday	18	Munich District Three	Student	29
371	2	Funghi	Small	Saturday	17	Munich District One	Student	36
372	1	Veggie	Medium	Friday	12	Munich District Four	Student	29
373	4	Magherita	Medium	Friday	13	Munich District Five	Teenager	8
374	6	Calzone	Small	Thursday	14	Munich District Two	Adult	36
375	2	Funghi	Small	Sunday	19	Munich District Two	Student	9
376	9	Salami	Medium	Sunday	18	Munich District One	Adult	11
377	3	Funghi	Small	Friday	12	Munich District Two	Teenager	56
378	2	Magherita	Medium	Sunday	12	Munich District Four	Student	36
380	1	Magherita	Small	Sunday	14	Munich District Four	Student	28
381	4	Salami	Large	Sunday	21	Munich District One	Student	36
382	6	Calzone	Small	Saturday	19	Munich District One	Adult	22
383	2	Speciale	Small	Saturday	11	Munich District One	Student	11
384	1	Magherita	Medium	Sunday	16	Munich District One	Adult	5
385	2	Veggie	Medium	Sunday	18	Munich District One	Student	25
386	1	Paprika	Medium	Wednesday	12	Munich District Two	Teenager	36
387	1	Speciale	Small	Monday	19	Munich District One	Student	5
388	1	Calzone	Large	Monday	11	Munich District One	Adult	5
389	4	Funghi	Large	Thursday	19	Munich District Five	Teenager	24
390	1	Funghi	Small	Saturday	12	Munich District Two	Student	8
391	3	Magherita	Medium	Friday	14	Munich District One	Adult	29
392	2	Salami	Small	Saturday	18	Munich District Five	Student	21
393	2	Magherita	Medium	Sunday	13	Munich District One	Student	10
394	1	Paprika	Medium	Sunday	13	Munich District One	Senior	32
395	1	Salami	Small	Sunday	21	Munich District Four	Student	8
396	7	Funghi	Small	Saturday	12	Munich District Three	Student	6
397	1	Magherita	Small	Monday	19	Munich District Four	Student	29
398	3	Magherita	Small	Sunday	12	Munich District One	Student	36
399	3	Salami	Small	Saturday	13	Munich District One	Student	5
400	1	Funghi	Large	Friday	12	Munich District One	Senior	6
401	1	Calzone	Small	Friday	18	Munich District Two	Student	22
402	1	Veggie	Small	Saturday	13	Munich District Two	Student	36
404	2	Salami	Large	Sunday	20	Munich District Five	Senior	29
405	3	Paprika	Large	Friday	18	Munich District Two	Student	10
406	3	Salami	Medium	Sunday	19	Munich District One	Student	32
407	3	Magherita	Large	Monday	13	Munich District Three	Teenager	21
408	7	Magherita	Small	Saturday	18	Munich District Two	Student	36
409	1	Magherita	Large	Friday	19	Munich District One	Student	21
410	4	Funghi	Small	Sunday	12	Munich District One	Student	22
411	6	Paprika	Medium	Sunday	12	Munich District Three	Senior	10
412	2	Salami	Small	Friday	12	Munich District Two	Senior	36
413	4	Magherita	Large	Friday	10	Munich District One	Teenager	11
414	3	Funghi	Large	Friday	12	Munich District Two	Adult	36
415	9	Speciale	Large	Friday	14	Munich District Three	Student	4
416	4	Calzone	Small	Wednesday	18	Munich District Two	Student	36
418	3	Speciale	Large	Friday	15	Munich District Three	Student	46
419	1	Speciale	Small	Wednesday	19	Munich District Three	Teenager	29
420	3	Salami	Small	Friday	17	Munich District Four	Teenager	10
421	9	Calzone	Small	Sunday	13	Munich District Four	Student	5
423	1	Calzone	Small	Saturday	13	Munich District Five	Adult	29
424	1	Paprika	Small	Thursday	17	Munich District One	Student	33
425	1	Speciale	Small	Sunday	18	Munich District Two	Senior	11
426	1	Salami	Small	Sunday	13	Munich District One	Student	19
427	4	Magherita	Medium	Sunday	21	Munich District One	Teenager	9
429	8	Speciale	Medium	Saturday	14	Munich District Four	Student	5
430	1	Salami	Medium	Saturday	18	Munich District Three	Teenager	21
431	1	Funghi	Large	Friday	18	Munich District One	Student	36
432	6	Calzone	Small	Saturday	19	Munich District Two	Senior	36
433	2	Salami	Large	Saturday	19	Munich District Four	Student	51
434	6	Funghi	Small	Friday	11	Munich District Three	Adult	8
435	1	Magherita	Small	Friday	10	Munich District One	Adult	23
436	3	Magherita	Small	Saturday	19	Munich District Five	Teenager	34
438	6	Magherita	Small	Wednesday	13	Munich District Three	Teenager	5
439	1	Speciale	Medium	Saturday	12	Munich District One	Student	60
440	1	Magherita	Small	Sunday	18	Munich District One	Student	9
441	8	Speciale	Large	Friday	14	Munich District One	Student	39
442	3	Funghi	Large	Tuesday	13	Munich District One	Teenager	11
443	2	Magherita	Small	Friday	14	Munich District Four	Senior	9
444	4	Funghi	Small	Saturday	18	Munich District One	Teenager	36
445	2	Calzone	Medium	Sunday	11	Munich District One	Student	55
446	1	Funghi	Medium	Thursday	19	Munich District One	Student	12
447	2	Salami	Large	Thursday	12	Munich District Five	Student	5
448	1	Veggie	Small	Thursday	11	Munich District Four	Student	6
449	1	Speciale	Small	Sunday	18	Munich District Two	Student	29
450	2	Magherita	Large	Friday	12	Munich District Two	Adult	36
451	3	Magherita	Large	Sunday	18	Munich District Three	Adult	24
452	2	Speciale	Large	Saturday	12	Munich District One	Student	11
453	6	Salami	Large	Wednesday	10	Munich District Five	Student	30
454	4	Funghi	Large	Wednesday	14	Munich District Three	Student	10
455	6	Funghi	Small	Sunday	18	Munich District Five	Teenager	29
456	1	Funghi	Large	Saturday	13	Munich District One	Teenager	34
457	3	Salami	Medium	Sunday	19	Munich District One	Adult	39
459	1	Calzone	Small	Friday	15	Munich District Two	Student	29
460	2	Speciale	Large	Friday	19	Munich District One	Teenager	11
461	4	Funghi	Small	Thursday	18	Munich District Four	Adult	21
462	2	Funghi	Large	Saturday	12	Munich District One	Senior	21
463	4	Salami	Large	Friday	12	Munich District Two	Student	60
464	3	Salami	Small	Monday	21	Munich District One	Teenager	21
467	2	Magherita	Medium	Friday	19	Munich District Three	Student	28
469	1	Salami	Medium	Friday	13	Munich District Four	Student	36
471	6	Salami	Large	Friday	11	Munich District Four	Student	21
472	3	Magherita	Small	Thursday	10	Munich District One	Teenager	47
473	4	Calzone	Large	Sunday	17	Munich District Two	Student	23
474	1	Salami	Small	Friday	15	Munich District One	Student	28
475	1	Veggie	Large	Monday	17	Munich District Four	Student	36
476	1	Funghi	Small	Sunday	20	Munich District Three	Student	36
477	1	Magherita	Small	Saturday	12	Munich District Three	Student	38
478	8	Calzone	Small	Friday	12	Munich District One	Adult	16
479	1	Salami	Medium	Monday	12	Munich District Five	Student	5
480	1	Magherita	Small	Friday	13	Munich District Three	Teenager	51
481	2	Salami	Small	Sunday	18	Munich District One	Student	30
482	3	Magherita	Large	Saturday	20	Munich District Two	Adult	8
483	2	Funghi	Large	Wednesday	12	Munich District Four	Student	29
484	4	Funghi	Large	Saturday	12	Munich District Two	Student	52
485	1	Calzone	Small	Saturday	14	Munich District One	Student	29
486	4	Salami	Medium	Sunday	13	Munich District Three	Student	9
